 , B10.genotype, B10.batch, B10.cycle, B10.day, B10.hour, B10.time_start, B10.ID.new, B10.behaviour, B10.with.who 
 7999, CONT, B10, Dark phase,29,18, 18:01:10, M31, 0, M30 
 8001, CONT, B10, Dark phase,29,18, 18:01:17, M31, 0, M30 
 8005, CONT, B10, Dark phase,29,18, 18:01:33, M31, 0, M30 
 8008, CONT, B10, Dark phase,29,18, 18:01:10, M30, 0, M31 
 8010, CONT, B10, Dark phase,29,18, 18:01:17, M30, 0, M31 
 8013, CONT, B10, Dark phase,29,18, 18:01:33, M30, 0, M31 
 8016, CONT, B10, Dark phase,29,18, 18:01:16, M32, AGGRO, M29 
 8017, CONT, B10, Dark phase,29,18, 18:01:17, M32, 0, M29 
 8022, CONT, B10, Dark phase,29,18, 18:01:16, M29, AGGRO, M32 
 8023, CONT, B10, Dark phase,29,18, 18:01:17, M29, 0, M32 
 8025, CONT, B10, Dark phase,29,18, 18:11:06, M31, 0, M29 
 8028, CONT, B10, Dark phase,29,18, 18:11:12, M31, 0, M32 
 8030, CONT, B10, Dark phase,29,18, 18:11:27, M31, AGGRO, M32 
 8031, CONT, B10, Dark phase,29,18, 18:11:28, M31, 0, M32 
 8033, CONT, B10, Dark phase,29,18, 18:11:30, M31, 0, M29 
 8034, CONT, B10, Dark phase,29,18, 18:11:06, M29, 0, M31 
 8035, CONT, B10, Dark phase,29,18, 18:11:10, M29, AGGRO, M32 
 8040, CONT, B10, Dark phase,29,18, 18:11:29, M29, 0, M32 
 8041, CONT, B10, Dark phase,29,18, 18:11:31, M29, 0, M32 
 8043, CONT, B10, Dark phase,29,18, 18:11:10, M32, AGGRO, M29 
 8044, CONT, B10, Dark phase,29,18, 18:11:10, M32, 0, M31 
 8046, CONT, B10, Dark phase,29,18, 18:11:27, M32, AGGRO, M31 
 8047, CONT, B10, Dark phase,29,18, 18:11:28, M32, 0, M29 
 8048, CONT, B10, Dark phase,29,18, 18:11:31, M32, 0, M29 
 8055, CONT, B10, Dark phase,29,18, 18:21:09, M32, 0, M29 
 8056, CONT, B10, Dark phase,29,18, 18:21:17, M32, 0, M29 
 8057, CONT, B10, Dark phase,29,18, 18:21:27, M32, 0, M29 
 8058, CONT, B10, Dark phase,29,18, 18:21:29, M32, 0, M29 
 8059, CONT, B10, Dark phase,29,18, 18:21:30, M32, STR.F, M29 
 8060, CONT, B10, Dark phase,29,18, 18:21:31, M32, STR.F, M30 
 8061, CONT, B10, Dark phase,29,18, 18:21:32, M32, STR.F, M29 
 8062, CONT, B10, Dark phase,29,18, 18:21:34, M32, 0, M29 
 8068, CONT, B10, Dark phase,29,18, 18:21:29, M30, 0, M29 
 8069, CONT, B10, Dark phase,29,18, 18:21:31, M30, STR.F, M32 
 8070, CONT, B10, Dark phase,29,18, 18:21:32, M30, 0, M29 
 8071, CONT, B10, Dark phase,29,18, 18:21:06, M29, 0, M31 
 8072, CONT, B10, Dark phase,29,18, 18:21:09, M29, 0, M32 
 8073, CONT, B10, Dark phase,29,18, 18:21:19, M29, STR.F, M31 
 8074, CONT, B10, Dark phase,29,18, 18:21:20, M29, 0, M32 
 8075, CONT, B10, Dark phase,29,18, 18:21:25, M29, STR.F, M31 
 8076, CONT, B10, Dark phase,29,18, 18:21:26, M29, 0, M32 
 8077, CONT, B10, Dark phase,29,18, 18:21:30, M29, STR.F, M32 
 8078, CONT, B10, Dark phase,29,18, 18:21:31, M29, 0, M32 
 8079, CONT, B10, Dark phase,29,18, 18:21:32, M29, STR.F, M32 
 8080, CONT, B10, Dark phase,29,18, 18:21:34, M29, 0, M32 
 8081, CONT, B10, Dark phase,29,18, 18:21:06, M31, 0, M29 
 8082, CONT, B10, Dark phase,29,18, 18:21:25, M31, STR.F, M29 
 8088, CONT, B10, Dark phase,29,18, 18:31:19, M29, 0, M30 
 8092, CONT, B10, Dark phase,29,18, 18:31:06, M31, 0, M30 
 8094, CONT, B10, Dark phase,29,18, 18:31:19, M31, 0, M30 
 8096, CONT, B10, Dark phase,29,18, 18:31:24, M31, 0, M30 
 8098, CONT, B10, Dark phase,29,18, 18:31:06, M30, 0, M31 
 8101, CONT, B10, Dark phase,29,18, 18:31:25, M30, 0, M31 
 8104, CONT, B10, Dark phase,29,18, 18:41:14, M29, 0, M32 
 8106, CONT, B10, Dark phase,29,18, 18:41:06, M32, 0, M31 
 8108, CONT, B10, Dark phase,29,18, 18:41:13, M32, 0, M29 
 8109, CONT, B10, Dark phase,29,18, 18:41:17, M32, 0, M29 
 8115, CONT, B10, Dark phase,29,18, 18:41:06, M31, 0, M32 
 8118, CONT, B10, Dark phase,29,18, 18:51:10, M29, 0, M32 
 8121, CONT, B10, Dark phase,29,18, 18:51:30, M29, AGGRO, M31 
 8122, CONT, B10, Dark phase,29,18, 18:51:30, M29, 0, M31 
 8125, CONT, B10, Dark phase,29,18, 18:51:10, M32, 0, M29 
 8127, CONT, B10, Dark phase,29,18, 18:51:20, M32, 0, M30 
 8128, CONT, B10, Dark phase,29,18, 18:51:24, M32, 0, M30 
