 , B7.genotype, B7.batch, B7.cycle, B7.day, B7.hour, B7.time_start, B7.ID.new, B7.behaviour, B7.with.who 
 11489, CONT, B7, Dark phase,8,18, 18:06:11, M18, 0, M17 
 11490, CONT, B7, Dark phase,8,18, 18:06:13, M18, AGGRO, M17 
 11491, CONT, B7, Dark phase,8,18, 18:06:15, M18, AGGRO, M19 
 11495, CONT, B7, Dark phase,8,18, 18:06:13, M17, AGGRO, M18 
 11497, CONT, B7, Dark phase,8,18, 18:06:27, M17, AGGRO, M19 
 11505, CONT, B7, Dark phase,8,18, 18:06:15, M19, AGGRO, M18 
 11506, CONT, B7, Dark phase,8,18, 18:06:27, M19, AGGRO, M17 
 11514, CONT, B7, Dark phase,8,18, 18:16:15, M17, 0, M20 
 11515, CONT, B7, Dark phase,8,18, 18:16:21, M17, 0, M19 
 11516, CONT, B7, Dark phase,8,18, 18:16:22, M17, 0, M19 
 11521, CONT, B7, Dark phase,8,18, 18:16:20, M19, 0, M17 
 11522, CONT, B7, Dark phase,8,18, 18:16:21, M19, 0, M20 
 11523, CONT, B7, Dark phase,8,18, 18:16:21, M19, 0, M20 
 11524, CONT, B7, Dark phase,8,18, 18:16:28, M19, STR.F, M20 
 11525, CONT, B7, Dark phase,8,18, 18:16:29, M19, 0, M20 
 11526, CONT, B7, Dark phase,8,18, 18:16:30, M19, STR.F, M20 
 11527, CONT, B7, Dark phase,8,18, 18:16:32, M19, 0, M20 
 11528, CONT, B7, Dark phase,8,18, 18:16:36, M19, STR.F, M20 
 11529, CONT, B7, Dark phase,8,18, 18:16:37, M19, 0, M20 
 11531, CONT, B7, Dark phase,8,18, 18:16:13, M20, 0, M17 
 11532, CONT, B7, Dark phase,8,18, 18:16:16, M20, 0, M17 
 11533, CONT, B7, Dark phase,8,18, 18:16:23, M20, 0, M19 
 11534, CONT, B7, Dark phase,8,18, 18:16:28, M20, STR.F, M19 
 11535, CONT, B7, Dark phase,8,18, 18:16:29, M20, 0, M19 
 11536, CONT, B7, Dark phase,8,18, 18:16:30, M20, STR.F, M19 
 11537, CONT, B7, Dark phase,8,18, 18:16:32, M20, 0, M19 
 11538, CONT, B7, Dark phase,8,18, 18:16:36, M20, STR.F, M19 
 11539, CONT, B7, Dark phase,8,18, 18:16:37, M20, 0, M19 
 11541, CONT, B7, Dark phase,8,18, 18:26:11, M18, 0, M19 
 11543, CONT, B7, Dark phase,8,18, 18:26:20, M18, 0, M20 
 11547, CONT, B7, Dark phase,8,18, 18:26:08, M20, 0, M17 
 11549, CONT, B7, Dark phase,8,18, 18:26:16, M20, 0, M19 
 11551, CONT, B7, Dark phase,8,18, 18:26:20, M20, 0, M18 
 11555, CONT, B7, Dark phase,8,18, 18:26:30, M20, 0, M19 
 11556, CONT, B7, Dark phase,8,18, 18:26:08, M17, 0, M20 
 11557, CONT, B7, Dark phase,8,18, 18:26:11, M17, 0, M19 
 11559, CONT, B7, Dark phase,8,18, 18:26:30, M17, 0, M18 
 11563, CONT, B7, Dark phase,8,18, 18:26:11, M19, 0, M17 
 11566, CONT, B7, Dark phase,8,18, 18:26:31, M19, 0, M20 
 11569, CONT, B7, Dark phase,8,18, 18:36:29, M17, AGGRO, M20 
 11575, CONT, B7, Dark phase,8,18, 18:36:29, M19, 0, M17 
 11576, CONT, B7, Dark phase,8,18, 18:36:29, M19, AGGRO, M17 
 11581, CONT, B7, Dark phase,8,18, 18:36:15, M18, 0, M20 
 11583, CONT, B7, Dark phase,8,18, 18:36:21, M18, 0, M20 
 11584, CONT, B7, Dark phase,8,18, 18:36:34, M18, 0, M20 
 11587, CONT, B7, Dark phase,8,18, 18:36:15, M20, 0, M18 
 11589, CONT, B7, Dark phase,8,18, 18:36:21, M20, 0, M18 
 11596, CONT, B7, Dark phase,8,18, 18:46:13, M17, AGGRO, M19 
 11599, CONT, B7, Dark phase,8,18, 18:46:13, M19, AGGRO, M17 
 11603, CONT, B7, Dark phase,8,18, 18:46:35, M19, 0, M17 
 11607, CONT, B7, Dark phase,8,18, 18:56:22, M17, 0, M19 
 11608, CONT, B7, Dark phase,8,18, 18:56:27, M17, STR.F, M19 
 11609, CONT, B7, Dark phase,8,18, 18:56:29, M17, 0, M19 
 11610, CONT, B7, Dark phase,8,18, 18:56:31, M17, STR.F, M19 
 11614, CONT, B7, Dark phase,8,18, 18:56:22, M19, 0, M17 
 11615, CONT, B7, Dark phase,8,18, 18:56:27, M19, STR.F, M17 
 11616, CONT, B7, Dark phase,8,18, 18:56:29, M19, 0, M17 
 11617, CONT, B7, Dark phase,8,18, 18:56:31, M19, STR.F, M17 
 11618, CONT, B7, Dark phase,8,18, 18:56:33, M19, 0, M17 
 11619, CONT, B7, Dark phase,8,18, 18:56:34, M19, 0, M18 
 11620, CONT, B7, Dark phase,8,18, 18:56:35, M19, 0, M20 
 11621, CONT, B7, Dark phase,8,18, 18:56:37, M19, 0, M18 
 11622, CONT, B7, Dark phase,8,18, 18:56:08, M20, 0, M18 
 11623, CONT, B7, Dark phase,8,18, 18:56:13, M20, 0, M18 
 11625, CONT, B7, Dark phase,8,18, 18:56:35, M20, 0, M19 
 11627, CONT, B7, Dark phase,8,18, 18:56:08, M18, 0, M20 
 11628, CONT, B7, Dark phase,8,18, 18:56:13, M18, 0, M20 
 11631, CONT, B7, Dark phase,8,18, 18:56:37, M18, 0, M19 
 11633, CONT, B7, Dark phase,8,19, 19:06:24, M20, 0, M19 
 11634, CONT, B7, Dark phase,8,19, 19:06:27, M20, 0, M18 
 11637, CONT, B7, Dark phase,8,19, 19:06:14, M18, 0, M17 
 11638, CONT, B7, Dark phase,8,19, 19:06:15, M18, AGGRO, M17 
 11640, CONT, B7, Dark phase,8,19, 19:06:24, M18, AGGRO, M17 
