ID	Batch	Rating
'M10'	B5	-2.02537319
'M11'	B5	-2.80824674
'M12'	B5	-0.54300943
'M9'	B5	5.469381
'M5'	B2	-0.60180654
'M6'	B2	-0.31527339
'M7'	B2	0.35663127
'M8'	B2	0.48741159
'M13'	B6	0.83016049
'M14'	B6	-2.58712611
'M15'	B6	3.28405361
'M16'	B6	-1.47665974
'M29'	B10	0.21283312
'M30'	B10	0.07453604
'M31'	B10	-0.05968962
'M32'	B10	-0.22097339
'M17'	B7	-2.3123057
'M18'	B7	-1.46160582
'M19'	B7	0.50597859
'M20'	B7	3.1499356
'M1'	B1	-0.80953483
'M2'	B1	2.93740895
'M3'	B1	-0.22744993
'M4'	B1	-1.97104448
'M21'	B8	-6.31029942
'M22'	B8	-0.84687812
'M23'	B8	5.81713283
'M24'	B8	1.29533136
'M25'	B9	-29.0949762
'M26'	B9	-3.86586755
'M27'	B9	15.82211546
'M28'	B9	18.82729298
'M33'	B11	4.22235162
'M34'	B11	1.34732848
'M35'	B11	-2.66373317
'M36'	B11	-2.93214395
'M37'	B12	-5.13804258
'M38'	B12	3.68440707
'M39'	B12	-3.36268855
'M40'	B12	4.46928872
